benchmark,benchmark_label,seed,estimator,iteration,tau,w2_sq_proxy,protocol
swiss_roll,Swiss roll,11,k_Ensemble,6,0.9,0.039054158135493885,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,7,0.9,0.03853384872348009,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,k_Ensemble,8,0.9,0.037875443831906365,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,0,0.9,0.18153424560167045,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,1,0.9,0.11634097258408492,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,2,0.9,0.06403695095186683,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,3,0.9,0.048630869171054976,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,4,0.9,0.044532542062600544,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,5,0.9,0.042936427310396534,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,6,0.9,0.04540203515508378,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,7,0.9,0.04347158732158861,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,MLE_Exp,8,0.9,0.04184033077526923,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,0,0.9,0.18153424560167045,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,1,0.9,0.16659813824213182,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,2,0.9,0.14483034863913558,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,3,0.9,0.18286457963303496,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,4,0.9,0.09546346979383907,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,5,0.9,0.18580805134465245,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,6,0.9,0.18588802060595538,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,7,0.9,0.17582357139983743,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,11,PMM2/PMM3,8,0.9,0.17446280936726624,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,17,Plugin_Estimator,0,0.9,0.15919020490197608,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,17,Plugin_Estimator,1,0.9,0.07861814943549311,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,17,Plugin_Estimator,2,0.9,0.05872305686626733,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,17,Plugin_Estimator,3,0.9,0.05291535239115305,iterated_resampling_with_matched_refresh_proxy
swiss_roll,Swiss roll,17,Plugin_Estimator,4,0.9,0.04854206863212006,iterated_resampling_with_matched_refresh_proxy
