benchmark,benchmark_label,seed,estimator,n_particles,k,tau,w2_sq_proxy,kl_pairwise,max_slack,component_loss,missing_fraction,wallclock_sec,selector_branch,c3,c4,protocol
seven_lobes,Seven lobes,43,k_Ensemble,220,12,0.75,0.004049082398078864,0.01776206920999434,0.0,0,0.0,0.0027847500168718398,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,MLE_Exp,220,12,0.75,0.0049270287604439465,0.055815023943651905,0.0,0,0.0,0.002757082984317094,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,PMM2/MLE,220,12,0.75,0.0034539912544184134,0.023420725808423096,0.0,0,0.0,0.003164124966133386,PMM2,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,220,12,1.0,0.009084956980598285,0.362442379523859,0.0,0,0.0,0.002801458991598338,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,k_Ensemble,220,12,1.0,0.0057016167718156215,0.12283785303971934,0.0,0,0.0,0.002882957982365042,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,MLE_Exp,220,12,1.0,0.009084956980598285,0.362442379523859,0.0,0,0.0,0.0027851249906234443,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,PMM2/MLE,220,12,1.0,0.004988633881607068,0.024989254461391094,0.0,0,0.0,0.0030390419997274876,PMM2,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,220,12,1.0,0.009341573964855184,0.27688194868247085,0.0,0,0.0,0.0029321250040084124,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,k_Ensemble,220,12,1.0,0.005128304356432142,0.043121385094928404,0.0,0,0.0,0.003048584039788693,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,MLE_Exp,220,12,1.0,0.009341573964855184,0.27688194868247085,0.0,0,0.0,0.0028460840112529695,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,PMM2/MLE,220,12,1.0,0.00418436213532514,0.03544807197657141,0.0,0,0.0,0.003078582987654954,PMM2,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,220,12,1.0,0.006303781655949226,0.2139751370168893,0.0,0,0.0,0.0028607919812202454,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,k_Ensemble,220,12,1.0,0.004838551949015786,0.1081961661093784,0.0,0,0.0,0.0028006249922327697,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,MLE_Exp,220,12,1.0,0.006303781655949226,0.2139751370168893,0.0,0,0.0,0.003053917025681585,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,PMM2/MLE,220,12,1.0,0.0036827852593915925,0.024887388434979913,0.0,0,0.0,0.0031642079702578485,PMM2,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,220,12,1.0,0.009004683508117839,0.32551877600858836,0.0,0,0.0,0.0028139580390416086,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,k_Ensemble,220,12,1.0,0.006850234576827307,0.07186231194698947,0.0,0,0.0,0.0027560829767026007,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,MLE_Exp,220,12,1.0,0.009004683508117839,0.32551877600858836,0.0,0,0.0,0.0027052079676650465,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
